sent_id,sentence,entities,uris
1077,Perumpamaan harta yang mereka infakkan di dalam kehidupan dunia ini adalah ibarat angin yang mengandung hawa sangat dingin yang menimpa tanaman ( milik ) suatu kaum yang menzalimi diri sendiri  lalu ( angin itu ) merusaknya .,[],[]
1437,kamu ( wahai orang mukmin ) ( terpecah ) menjadi dua golongan dalam ( menghadapi ) orang-orang munafik  padahal Allah telah mengembalikan mereka ( pada kekufuran ) karena usaha mereka sendiri ? Apakah,['Allah'],['http://www.wikidata.org/entity/Q2095353']
136,Maka  serulah mereka  lalu biarlah mereka memenuhi seruanmu  jika kamu orang yang benar .,[],[]
450,"Mereka menjawab  "" Kami akan menyembah Tuhanmu dan Tuhan nenek moyangmu : Ibrahim  Ismail  dan Ishaq  ( yaitu ) Tuhan Yang Maha Esa dan ( hanya ) kepada-Nya kami berserah diri . "" Itulah umat yang telah lalu . Baginya apa yang telah mereka usahakan dan bagimu apa yang telah kamu usahakan .","['Ibrahim', 'Ismail', 'Ishaq', 'Tuhan Yang Maha Esa']","['http://www.wikidata.org/entity/Q1768161', 'http://www.wikidata.org/entity/Q470988', 'http://www.wikidata.org/entity/Q1642480', 'http://www.wikidata.org/entity/Q2095353']"
1600,Karena kezaliman orang-orang Yahudi  Kami mengharamkan atas mereka ( makanan-makanan ) yang baik yang ( dahulu ) pernah dihalalkan bagi mereka ; juga karena mereka sering menghalangi ( orang lain ) dari jalan Allah  melakukan riba  padahal sungguh mereka telah dilarang darinya ; dan memakan harta orang dengan cara tidak sah ( batil ) .,"['orang-orang Yahudi', 'Allah']","['http://www.wikidata.org/entity/Q7325', 'http://www.wikidata.org/entity/Q2095353']"
691,Talak ( yang dapat dirujuk ) itu dua kali . ( Setelah itu suami dapat ) menahan ( rujuk ) dengan cara yang patut atau melepaskan ( menceraikan ) dengan baik .,[],[]
653,Mereka itulah penghuni neraka .,[],[]
2098,Dia Maha Mendengar lagi Maha Mengetahui .,[],[]
555,Bagi orang yang berat menjalankannya  wajib membayar fidyah  ( yaitu ) memberi makan seorang miskin .,[],[]
2014,"Dialah yang menciptakan langit dan bumi dengan hak ( benar ) . ( Sungguh benar ketetapan-Nya ) pada hari ( ketika ) Dia berkata  "" Jadilah ! """,['bumi'],['http://www.wikidata.org/entity/Q2']
130,"Kemudian  ketika dia merasa berat  keduanya ( suami istri ) memohon kepada Allah  Tuhan mereka  "" Sungguh  jika Engkau memberi kami anak yang saleh  pasti kami termasuk orang-orang yang bersyukur . "" Kemudian  setelah Dia memberi keduanya seorang anak yang saleh  mereka menjadikan sekutu bagi Allah dalam ( penciptaan ) anak yang telah Dia anugerahkan kepada mereka .","['Allah', 'Allah']","['http://www.wikidata.org/entity/Q2095353', 'http://www.wikidata.org/entity/Q2095353']"
1402,Sesungguhnya di antara kamu pasti ada orang yang sangat enggan pergi ( ke medan pertempuran ) .,[],[]
1830,Hal itu karena mereka durhaka dan selalu melampaui batas .,[],[]
536,Mereka itulah yang membeli kesesatan dengan petunjuk dan azab dengan ampunan .,[],[]
1220,Ya Tuhan kami  ampunilah dosa-dosa kami  hapuskanlah kesalahan-kesalahan kami  dan wafatkanlah kami beserta orang-orang yang selalu berbuat kebaikan .,[],[]
110,Mereka seperti hewan ternak  bahkan lebih sesat lagi .,[],[]
1847,Sesungguhnya Allah tidak menyukai orang-orang yang melampaui batas .,['Allah'],['http://www.wikidata.org/entity/Q2095353']
1810,Maka  janganlah engkau bersedih terhadap kaum yang kafir itu .,[],[]
1983,"Apabila orang-orang yang beriman pada ayat-ayat Kami datang kepadamu  katakanlah  "" Salāmun ' alaikum ( semoga keselamatan tercurah kepadamu ) . "" Tuhanmu telah menetapkan sifat kasih sayang pada diri-Nya  ( yaitu ) siapa yang berbuat kejahatan di antara kamu karena kejahilan ( kebodohan  kecerobohan  dorongan nafsu  amarah dan sebagainya )  kemudian dia bertobat setelah itu dan memperbaiki diri  maka sesungguhnya Dia Maha Pengampun lagi Maha Penyayang . Demikianlah Kami terangkan ayat-ayat Al-Qur'an secara terperinci ( agar terlihat jelas jalan kebenaran ) dan agar terlihat jelas ( pula ) jalan para pendurhaka .","[""Al-Qur'an""]",['http://www.wikidata.org/entity/Q428']
795,"Tidakkah kamu memperhatikan orang yang mendebat Ibrahim mengenai Tuhannya karena Allah telah menganugerahkan kepadanya ( orang itu ) kerajaan ( kekuasaan )  ( yakni ) ketika Ibrahim berkata  "" Tuhankulah yang menghidupkan dan mematikan . "" ( Orang itu ) berkata  "" Aku ( pun ) dapat menghidupkan dan mematikan . "" Ibrahim berkata  "" Kalau begitu  sesungguhnya Allah menerbitkan matahari dari timur .","['Ibrahim', 'Allah', 'Ibrahim', 'yang menghidupkan dan mematikan', 'Ibrahim', 'Allah', 'matahari']","['http://www.wikidata.org/entity/Q1768161', 'http://www.wikidata.org/entity/Q2095353', 'http://www.wikidata.org/entity/Q1768161', 'http://www.wikidata.org/entity/Q2095353', 'http://www.wikidata.org/entity/Q1768161', 'http://www.wikidata.org/entity/Q2095353', 'http://www.wikidata.org/entity/Q525']"
2232,"Apabila mereka melakukan perbuatan keji  mereka berkata  "" Kami mendapati nenek moyang kami melakukan yang demikian dan Allah menyuruh kami mengerjakannya . "" Katakanlah ( Nabi Muhammad )  "" Sesungguhnya Allah tidak memerintahkan kekejian .","['Allah', 'Muhammad', 'Allah']","['http://www.wikidata.org/entity/Q2095353', 'http://www.wikidata.org/entity/Q9458', 'http://www.wikidata.org/entity/Q2095353']"
656,Allah Maha Pengampun lagi Maha Penyayang .,['Allah'],['http://www.wikidata.org/entity/Q2095353']
879,Akan tetapi  jika sebagian kamu memercayai sebagian yang lain  hendaklah yang dipercayai itu menunaikan amanatnya ( utangnya ) dan hendaklah dia bertakwa kepada Allah  Tuhannya .,['Allah'],['http://www.wikidata.org/entity/Q2095353']
2333,Akan tetapi  mereka mendustakan ( para rasul dan ayat-ayat Kami ) .,[],[]
590,Oleh sebab itu  siapa yang menyerang kamu  seranglah setimpal dengan serangannya terhadapmu .,[],[]
1558,Apakah mereka mencari kekuatan di sisi orang kafir itu ? (,[],[]
2338,ada orang yang merasa aman dari siksa Allah  selain kaum yang rugi . Ataukah belum juga jelas bagi orang-orang yang mewarisi suatu negeri setelah ( lenyap ) penduduknya  bahwa seandainya Kami menghendaki  Kami benar-benar akan menimpakan ( siksa ) kepada mereka karena dosa-dosanya ? Kami,['Allah'],['http://www.wikidata.org/entity/Q2095353']
883,Jika kamu menyatakan apa yang ada di dalam hatimu atau kamu menyembunyikannya  niscaya Allah memperhitungkannya bagimu .,['Allah'],['http://www.wikidata.org/entity/Q2095353']
2258,"Sungguh  rasul-rasul Tuhan kami telah datang membawa kebenaran . "" Diserukan kepada mereka  "" Itulah surga yang telah diwariskan kepadamu karena apa yang selalu kamu kerjakan . "" Para penghuni surga menyeru para penghuni neraka  "" Sungguh  kami telah mendapati sesuatu ( surga ) yang dijanjikan Tuhan kepada kami itu benar .",[],[]
977,Sesungguhnya Allah itu Tuhanku dan Tuhanmu .,['Allah'],['http://www.wikidata.org/entity/Q2095353']
1906,Dia Mahakuasa atas segala sesuatu .,[],[]
2529,"Kemudian  makanlah ( wahai lebah ) dari segala ( macam ) buah-buahan lalu tempuhlah jalan-jalan Tuhanmu yang telah dimudahkan ( bagimu ) . "" Dari perutnya itu keluar minuman ( madu ) yang beraneka warnanya .",[],[]
1538,Jika keduanya bercerai  Allah akan memberi kecukupan kepada masing-masing dari keluasan ( karunia ) - Nya .,['Allah'],['http://www.wikidata.org/entity/Q2095353']
310,Tegakkanlah salat  tunaikanlah zakat  dan rukuklah beserta orang-orang yang rukuk .,[],[]
1709,Sesungguhnya aku ingin engkau kembali ( kepada-Nya ) dengan ( membawa ) dosa ( karena membunuh ) - ku dan dosamu ( sebelum itu ) sehingga engkau akan termasuk penghuni neraka .,[],[]
2446,Sesungguhnya pada yang demikian itu benar-benar terdapat tanda-tanda ( kebesaran Allah ) bagi orang yang mengerti . ( Dia juga mengendalikan ) apa yang Dia ciptakan untukmu di bumi ini dengan berbagai jenis dan macam warnanya .,"['Allah', 'bumi']","['http://www.wikidata.org/entity/Q2095353', 'http://www.wikidata.org/entity/Q2']"
975,Aku datang kepadamu dengan membawa tanda ( mukjizat ) dari Tuhanmu .,[],[]
1110,Sungguh  telah berlalu sebelum kamu sunah-sunah ( Allah ) .,['Allah'],['http://www.wikidata.org/entity/Q2095353']
1339,Siapa yang menjadikan setan sebagai temannya  ( ketahuilah bahwa ) dia adalah seburuk-buruk teman .,[],[]
1141,Oleh karena itu  Allah menimpakan kepadamu kesedihan demi kesedihan agar kamu tidak bersedih hati ( lagi ) terhadap apa yang luput dari kamu dan terhadap apa yang menimpamu .,['Allah'],['http://www.wikidata.org/entity/Q2095353']
487,Bagi setiap umat ada kiblat yang dia menghadap ke arahnya .,[],[]
306,Hanya kepada-Ku hendaknya kamu takut .,[],[]
1692,"Orang Yahudi dan orang Nasrani berkata  "" Kami adalah anak-anak Allah dan kekasih-kekasih-Nya . "" Katakanlah  "" ( Jika benar begitu  ) mengapa Allah menyiksa kamu karena dosa-dosamu ? Sebaliknya","['Orang Yahudi', 'orang Nasrani', 'Allah', 'Allah']","['http://www.wikidata.org/entity/Q7325', 'http://www.wikidata.org/entity/Q106039', 'http://www.wikidata.org/entity/Q2095353', 'http://www.wikidata.org/entity/Q2095353']"
1214,Allah Mahakuasa atas segala sesuatu .,['Allah'],['http://www.wikidata.org/entity/Q2095353']
1731,menyiksa siapa yang Dia kehendaki dan mengampuni siapa yang Dia kehendaki . Allah Mahakuasa atas segala sesuatu .,['Allah'],['http://www.wikidata.org/entity/Q2095353']
888,Ampunilah kami  wahai Tuhan kami .,[],[]
453,"Kami tidak membeda-bedakan seorang pun di antara mereka dan ( hanya ) kepada-Nya kami berserah diri . "" Jika mereka telah mengimani apa yang kamu imani  sungguh mereka telah mendapat petunjuk .",[],[]
2518,Tidak diragukan bahwa nerakalah ( tempat yang layak ) bagi mereka dan sesungguhnya mereka segera akan dimasukkan ( ke dalamnya ) .,[],[]
2479,Maka  mereka ditimpa azab ( akibat ) perbuatan mereka dan diliputi oleh azab yang dahulu mereka selalu perolok-olokkan .,[],[]
1794,Mereka dilaknat disebabkan apa yang telah mereka katakan .,[],[]
680,Allah tidak menghukummu karena sumpahmu yang tidak kamu sengaja  tetapi Dia menghukummu karena sumpah yang diniatkan oleh hatimu .,['Allah'],['http://www.wikidata.org/entity/Q2095353']
1812,Sungguh  Kami benar-benar telah mengambil perjanjian dari Bani Israil dan telah mengutus rasul-rasul kepada mereka .,['Bani Israil'],['http://www.wikidata.org/entity/Q2605404']
1803,Di antara mereka ada umat yang menempuh jalan yang lurus .,[],[]
2224,"Ia ( setan ) berkata  "" Tuhanmu tidak melarang kamu berdua untuk mendekati pohon ini  kecuali ( karena Dia tidak senang ) kamu berdua menjadi malaikat atau kamu berdua termasuk orang-orang yang kekal ( dalam surga ) . "" Ia ( setan ) bersumpah kepada keduanya  "" Sesungguhnya aku ini bagi kamu berdua benar-benar termasuk para pemberi nasihat . "" Ia ( setan ) menjerumuskan keduanya dengan tipu daya .",[],[]
1127,Mereka tidak ( menjadi ) lemah karena bencana yang menimpanya di jalan Allah  tidak patah semangat  dan tidak ( pula ) menyerah ( kepada musuh ) .,['Allah'],['http://www.wikidata.org/entity/Q2095353']
1517,"Aku benar-benar akan menyesatkan mereka  membangkitkan angan-angan kosong mereka  menyuruh mereka ( untuk memotong telinga-telinga binatang ternaknya ) hingga mereka benar-benar memotongnya  dan menyuruh mereka ( mengubah ciptaan Allah ) hingga benar-benar mengubahnya . "" Siapa yang menjadikan setan sebagai pelindung selain Allah sungguh telah menderita kerugian yang nyata . ( Setan ) memberikan janji-janji kepada mereka dan membangkitkan angan-angan kosong mereka .","['Allah', 'Allah']","['http://www.wikidata.org/entity/Q2095353', 'http://www.wikidata.org/entity/Q2095353']"
1828,"Allah Maha Mendengar lagi Maha Mengetahui . Katakanlah ( Nabi Muhammad )  "" Wahai Ahlulkitab  janganlah kamu berlebih-lebihan dalam ( urusan ) agamamu tanpa hak .","['Allah', 'Muhammad']","['http://www.wikidata.org/entity/Q2095353', 'http://www.wikidata.org/entity/Q9458']"
546,Siapa yang melampaui batas setelah itu  maka ia akan mendapat azab yang sangat pedih .,[],[]
1616,Hal itu bagi Allah ( sangat ) mudah .,['Allah'],['http://www.wikidata.org/entity/Q2095353']
1782,Wahai orang-orang yang beriman  janganlah kamu menjadikan orang-orang yang menjadikan agamamu bahan ejekan dan permainan  ( yaitu ) di antara orang-orang yang telah diberi kitab suci sebelummu dan orang-orang kafir  sebagai teman setia ( - mu ) .,[],[]
825,Ketahuilah bahwa Allah Mahakaya lagi Maha Terpuji .,['Allah'],['http://www.wikidata.org/entity/Q2095353']
1573,Kecuali  orang-orang yang bertobat  memperbaiki diri  berpegang teguh pada ( agama ) Allah  dan dengan ikhlas ( menjalankan ) agama mereka karena Allah  mereka itu bersama orang-orang mukmin .,"['Allah', 'Allah']","['http://www.wikidata.org/entity/Q2095353', 'http://www.wikidata.org/entity/Q2095353']"
955,"Jika kamu berpaling  sesungguhnya Allah tidak menyukai orang-orang kafir . "" Sesungguhnya Allah telah memilih Adam  Nuh  keluarga Ibrahim  dan keluarga Imran atas seluruh alam ( manusia pada zamannya masing-masing ) . ( Mereka adalah ) satu keturunan  sebagiannya adalah ( keturunan ) dari sebagian yang lain .","['Allah', 'Allah', 'Adam', 'Nuh']","['http://www.wikidata.org/entity/Q2095353', 'http://www.wikidata.org/entity/Q2095353', 'http://www.wikidata.org/entity/Q2001710', 'http://www.wikidata.org/entity/Q1782672']"
1725,Bagi mereka azab yang kekal .,[],[]
203,Mereka itulah para penghuni surga .,[],[]
2244,Orang-orang yang mendustakan ayat-ayat Kami dan menyombongkan diri terhadapnya  mereka itulah penghuni neraka  mereka kekal di dalamnya .,[],[]
1975,"Katakanlah ( Nabi Muhammad )  "" Aku tidak mengatakan kepadamu bahwa perbendaharaan ( rezeki ) Allah ada padaku  aku ( sendiri ) tidak mengetahui yang gaib  dan aku tidak ( pula ) mengatakan kepadamu bahwa aku malaikat .","['Muhammad', 'Allah']","['http://www.wikidata.org/entity/Q9458', 'http://www.wikidata.org/entity/Q2095353']"
2212,Siapa yang berat timbangan ( kebaikan ) - nya  mereka itulah orang yang beruntung .,[],[]
1590,"Kami perintahkan kepada mereka  "" Masukilah pintu gerbang ( Baitulmaqdis ) itu sambil bersujud "" .",['Baitulmaqdis'],['http://www.wikidata.org/entity/Q1218']
1462,Tidak sama orang-orang mukmin yang duduk ( tidak turut berperang ) tanpa mempunyai uzur dengan orang-orang yang berjihad di jalan Allah dengan harta dan jiwanya .,['Allah'],['http://www.wikidata.org/entity/Q2095353']
25,"Ketika azab ( yang telah diterangkan itu ) menimpa mereka  mereka pun berkata  "" Wahai Musa  mohonkanlah untuk kami kepada Tuhanmu sesuai dengan janji-Nya kepadamu .",['Musa'],['http://www.wikidata.org/entity/Q1990155']
328,"Mereka tidak menzalimi Kami  tetapi justru merekalah yang menzalimi diri sendiri . ( Ingatlah ) ketika Kami berfirman  "" Masuklah ke negeri ini ( Baitulmaqdis ) .",['Baitulmaqdis'],['http://www.wikidata.org/entity/Q1218']
1329,Perempuan-perempuan yang kamu khawatirkan akan nusyuz  berilah mereka nasihat  tinggalkanlah mereka di tempat tidur ( pisah ranjang )  dan ( kalau perlu  ) pukullah mereka ( dengan cara yang tidak menyakitkan ) .,[],[]
1622,Wahai Ahlulkitab  janganlah kamu berlebih-lebihan dalam ( menjalankan ) agamamu dan janganlah kamu mengatakan terhadap Allah  kecuali yang benar .,['Allah'],['http://www.wikidata.org/entity/Q2095353']
384,"Mereka menjawab  "" Kami mendengarkannya  tetapi kami tidak menaatinya . "" Diresapkanlah ke dalam hati mereka itu ( kecintaan menyembah patung ) anak sapi karena kekufuran mereka . Katakanlah  "" Sangat buruk apa yang diperintahkan oleh keimananmu kepadamu jika kamu orang-orang mukmin ! """,[],[]
206,Tidak ada bagi mereka seorang pelindung ( pun ) dari ( azab ) Allah .,['Allah'],['http://www.wikidata.org/entity/Q2095353']
2075,Dia tidak dapat dijangkau oleh penglihatan mata  sedangkan Dia dapat menjangkau segala penglihatan itu .,[],[]
690,Allah Mahaperkasa lagi Mahabijaksana .,['Allah'],['http://www.wikidata.org/entity/Q2095353']
791,Sedangkan orang-orang yang kufur  pelindung-pelindung mereka adalah tagut .,[],[]
849,Siapa yang mengulangi ( transaksi riba )  mereka itulah penghuni neraka .,[],[]
429,"Apabila Dia hendak menetapkan sesuatu  Dia hanya berkata kepadanya  "" Jadilah ! """,[],[]
2090,Demikianlah ( sebagaimana Kami menjadikan bagimu musuh ) Kami telah menjadikan ( pula ) bagi setiap nabi musuh yang terdiri atas setan-setan ( berupa ) manusia dan jin .,[],[]
1219,Ya Tuhan kami  sesungguhnya kami mendengar orang yang menyeru pada keimanan  yaitu ' Berimanlah kamu kepada Tuhanmu  ' maka kami pun beriman .,[],[]
2304,"Pemuka-pemuka yang menyombongkan diri di antara kaumnya berkata kepada orang-orang yang dianggap lemah yang telah beriman di antara mereka  "" Tahukah kamu bahwa Saleh diutus ( menjadi rasul ) oleh Tuhannya ? """,['Saleh'],['http://www.wikidata.org/entity/Q326189']
705,Apabila kamu ( sudah ) menceraikan istri ( - mu ) lalu telah sampai ( habis ) masa idahnya  janganlah kamu menghalangi mereka untuk menikah dengan ( calon ) suaminya apabila telah terdapat kerelaan di antara mereka dengan cara yang patut .,[],[]
1868,Bertakwalah kepada Allah yang hanya kepada-Nya kamu akan dikumpulkan .,['Allah'],['http://www.wikidata.org/entity/Q2095353']
354,Tidakkah mereka tahu bahwa Allah mengetahui apa yang mereka sembunyikan dan apa yang mereka nyatakan ? Di,['Allah'],['http://www.wikidata.org/entity/Q2095353']
340,"Sesungguhnya orang-orang yang beriman  orang-orang Yahudi  orang-orang Nasrani  dan orang-orang Sabiin  siapa saja ( di antara mereka ) yang beriman kepada Allah dan hari Akhir serta melakukan kebajikan ( pasti ) mendapat pahala dari Tuhannya  tidak ada rasa takut yang menimpa mereka dan mereka pun tidak bersedih hati . ( Ingatlah ) ketika Kami mengambil janjimu dan Kami angkat gunung ( Sinai ) di atasmu ( seraya berfirman )  "" Pegang teguhlah apa yang telah Kami berikan kepadamu dan ingatlah apa yang ada di dalamnya agar kamu bertakwa . "" Setelah itu  kamu berpaling .","['orang-orang Yahudi', 'orang-orang Nasrani', 'orang-orang Sabiin', 'Allah', 'hari Akhir', 'Sinai']","['http://www.wikidata.org/entity/Q7325', 'http://www.wikidata.org/entity/Q106039', 'http://www.wikidata.org/entity/Q2144747', 'http://www.wikidata.org/entity/Q2095353', 'http://www.wikidata.org/entity/Q12200906', 'http://www.wikidata.org/entity/Q377485']"
1223,Maka  orang-orang yang berhijrah  diusir dari kampung halamannya  disakiti pada jalan-Ku  berperang  dan terbunuh  pasti akan Aku hapus kesalahan mereka dan pasti Aku masukkan mereka ke dalam surga-surga yang mengalir di bawahnya sungai-sungai sebagai pahala dari Allah .,['Allah'],['http://www.wikidata.org/entity/Q2095353']
792,Mereka ( tagut ) mengeluarkan mereka ( orang-orang kafir itu ) dari cahaya menuju aneka kegelapan .,[],[]
420,Demikian pula orang-orang yang tidak berilmu ( musyrik Arab ) berkata seperti ucapan mereka itu .,[],[]
2387,Sesungguhnya Allah tidak membiarkan perbuatan orang-orang yang berbuat kerusakan .,['Allah'],['http://www.wikidata.org/entity/Q2095353']
2425,Dia adalah pemberi putusan yang terbaik .,[],[]
773,Namun  Allah melakukan apa yang Dia kehendaki .,['Allah'],['http://www.wikidata.org/entity/Q2095353']
1710,"Itulah balasan bagi orang-orang yang zalim . "" Kemudian  hawa nafsunya ( Qabil ) mendorong dia untuk membunuh saudaranya .",['Qabil'],['http://www.wikidata.org/entity/Q40326813']
953,"Katakanlah ( Nabi Muhammad )  "" Jika kamu mencintai Allah  ikutilah aku  niscaya Allah akan mencintaimu dan mengampuni dosa-dosamu . "" Allah Maha Pengampun lagi Maha Penyayang .","['Muhammad', 'Allah', 'Allah', 'Allah']","['http://www.wikidata.org/entity/Q9458', 'http://www.wikidata.org/entity/Q2095353', 'http://www.wikidata.org/entity/Q2095353', 'http://www.wikidata.org/entity/Q2095353']"
1133,Namun  ( hanya ) Allahlah pelindungmu dan Dia penolong yang terbaik .,[],[]
353,"kamu tidak mengerti ? """,[],[]
