sent_id,sentence,entities,uris
1578,"Berdasarkan perintah Gubernur DKI Jakarta Basuki Tjahaja Purnama atau Ahok, Pemprov DKI Jakarta mengambil alih pengelolaan parkir di TIM dari PT Putraja.","['DKI Jakarta', 'Basuki Tjahaja Purnama', 'Ahok', 'DKI Jakarta', 'TIM']","['http://www.wikidata.org/entity/Q3630', 'http://www.wikidata.org/entity/Q3630', 'http://www.wikidata.org/entity/Q3701615', 'http://www.wikidata.org/entity/Q3630', 'http://www.wikidata.org/entity/Q7680633']"
1806,Museum Trikora memang letaknya tidak jauh dari Lanud di Morotai.,"['Museum Trikora', 'Morotai']","['http://www.wikidata.org/entity/Q109354796', 'http://www.wikidata.org/entity/Q19146']"
718,"Dari tiga tim teratas, Madrid bisa dikatakan mendapatkan laga paling ringan.4 Tahun 2007 dan KM 23 Tahun 2006 sebagai bentuk penyempurnaan menyesuaikan dengan kondisi terkini, dan berbagai penataan organisasi yang telah dilaksanakan di lingkungan Kementerian Perhubungan.","['Madrid', 'Kementerian Perhubungan']","['http://www.wikidata.org/entity/Q8682', 'http://www.wikidata.org/entity/Q6867637']"
759,"Ini termasuk eks-pekerja Ditjen Postel, PT Telkom, Polri, Bappenas, Ditjen Pajak, dan Diknas.","['PT Telkom', 'Polri', 'Bappenas', 'Ditjen Pajak']","['http://www.wikidata.org/entity/Q2305438', 'http://www.wikidata.org/entity/Q3103954', 'http://www.wikidata.org/entity/Q11047108', 'http://www.wikidata.org/entity/Q3909179']"
934,"Anggota Fraksi PDIP lain, Sadar Restuwati, menekankan pemerintah harus mendorong revisi Undang-Undang Nomor 22 Tahun 2009 tentang Lalu Lintas dan Angkutan Jalan (LLAJ).","['PDIP', 'Sadar Restuwati']","['http://www.wikidata.org/entity/Q1186306', 'http://www.wikidata.org/entity/Q12511438']"
685,"""Dari segi dana, Telkom memang relatif bagus,"" kata Komisaris Utama Telkom Tanri Abeng di sela-sela acara pelantikan pejabat eselon I di lingkungan Kementerian Negara BUMN di kantornya, Jl.","['Telkom', 'Telkom', 'Tanri Abeng', 'Kementerian Negara BUMN']","['http://www.wikidata.org/entity/Q2305438', 'http://www.wikidata.org/entity/Q2305438', 'http://www.wikidata.org/entity/Q2305438', 'http://www.wikidata.org/entity/Q270791']"
1550,"""Nama-nama potensial adalah seperti yang beredar sebelumnya, yakni Djarot Saiful Hidayat (Wagub DKI), Boy Sadikin (Ketua PDIP DKI), Tri Rismaharini, dan Ganjar Pranowo,"" kata Prasetio Edi Marsudi.","['Djarot Saiful Hidayat', 'DKI', 'Boy Sadikin', 'PDIP', 'DKI', 'Tri Rismaharini', 'Ganjar Pranowo', 'Prasetio Edi Marsudi']","['http://www.wikidata.org/entity/Q19745886', 'http://www.wikidata.org/entity/Q3630', 'http://www.wikidata.org/entity/Q31173523', 'http://www.wikidata.org/entity/Q1186306', 'http://www.wikidata.org/entity/Q1186306', 'http://www.wikidata.org/entity/Q12522317', 'http://www.wikidata.org/entity/Q12483474', 'http://www.wikidata.org/entity/Q25469226']"
1839,Maksud kedatangan kedua menteri tersebut untuk melanjutkan rapat terkait taksi aplikasi yang telah digelar dua hari belakangan.,[],[]
1983,"""Saya yakin kader-kader PDIP seluruh indonesia sangat mencintai dan menghormati Bu Mega,"" jelasnya.","['PDIP', 'indonesia', 'Mega']","['http://www.wikidata.org/entity/Q1186306', 'http://www.wikidata.org/entity/Q252', 'http://www.wikidata.org/entity/Q76179']"
652,"""Ketum melakukan diskusi itu kan privat, tidak di-sharing ke publik, kalau memang ada, biasanya disharing di internal partai,"" lanjut Eddy meninggalkan sinyal-sinyal.",['Eddy'],['http://www.wikidata.org/entity/Q25460903']
1829,Isu Mendes PDT Marwan Jafar bakal direshuffle memang santer terdengar beberapa hari terakhir.,['Marwan Jafar'],['http://www.wikidata.org/entity/Q17410695']
2109,"Banjir di Jakarta telah membobol dua tembok belakang Gedung PT Telkom, di Jl Gatot Subroto, Jakarta Selatan.","['Jakarta', 'PT Telkom', 'Jl Gatot Subroto', 'Jakarta Selatan']","['http://www.wikidata.org/entity/Q3630', 'http://www.wikidata.org/entity/Q2305438', 'http://www.wikidata.org/entity/Q19726657', 'http://www.wikidata.org/entity/Q10114']"
1235,"Oleh sebab itu, PDIP membantah bila disebut mengincar kursi Mendes.",['PDIP'],['http://www.wikidata.org/entity/Q1186306']
944,"""Saya tadi ketemu dengan Menkum HAM untuk mengantarkan susunan kepengurusan DPP Golkar hasil Munas Bali yang sudah akomodasi kader Golkar di Ancol untuk mendapatkan pengesahan,"" kata Sekjen Golkar Idrus Marham di Gedung DPR, Senayan, Jakarta Pusat, Senin (4/4/2016).","['Golkar', 'Bali', 'Golkar', 'Ancol', 'Golkar', 'Idrus Marham', 'Gedung DPR', 'Senayan', 'Jakarta Pusat']","['http://www.wikidata.org/entity/Q1536552', 'http://www.wikidata.org/entity/Q3125978', 'http://www.wikidata.org/entity/Q1536552', 'http://www.wikidata.org/entity/Q4753096', 'http://www.wikidata.org/entity/Q1536552', 'http://www.wikidata.org/entity/Q1536552', 'http://www.wikidata.org/entity/Q5205958', 'http://www.wikidata.org/entity/Q7450093', 'http://www.wikidata.org/entity/Q10109']"
694,"PT Excelcomindo (10.1 WIB), Terdapat 8 BTS yang tidak berfungsi.",['PT Excelcomindo'],['http://www.wikidata.org/entity/Q3482752']
1018,Leuthard memuji BMKG karena punya sistem teknologi yang mutakhir dan tenaga profesional.,"['Leuthard', 'BMKG']","['http://www.wikidata.org/entity/Q115442', 'http://www.wikidata.org/entity/Q2826615']"
1573,"Yang pertama adalah Fernando Torres, yang kedua adalah Fernando Reges.","['Fernando Torres', 'Fernando Reges']","['http://www.wikidata.org/entity/Q42731', 'http://www.wikidata.org/entity/Q973416']"
223,"Menurut Luhut, nantinya Menteri Perhubungan Ignasius Jonan bersama Menteri Komunikasi dan Informatika Rudiantara akan duduk bersama membahas konflik taksi konvensional dengan layanan transportasi online tersebut.","['Luhut', 'Ignasius Jonan', 'Menteri Komunikasi dan Informatika', 'Rudiantara']","['http://www.wikidata.org/entity/Q14917375', 'http://www.wikidata.org/entity/Q16182287', 'http://www.wikidata.org/entity/Q12490742', 'http://www.wikidata.org/entity/Q12490742']"
209,"Dengan perolehan dua gol itu, The Citizens mempunyai peluang lebih besar untuk lolos ke babak semifinal.",['The Citizens'],['http://www.wikidata.org/entity/Q50602']
1614,"Menghadapi wakil tuan rumah, Iskandar Zulkarnain Zainuddin, Anthony kalah dua gim langsung 16-21, 19-21.","['Iskandar Zulkarnain Zainuddin', 'Anthony']","['http://www.wikidata.org/entity/Q13482534', 'http://www.wikidata.org/entity/Q16724324']"
814,"""Kita juga tengah telusuri pengadaan infrastruktur untuk pengembangan Telkom Fleksi yang diperkirakan kerugian negaranya Rp 400 miliar,"" kata sumber itu.",['Telkom'],['http://www.wikidata.org/entity/Q2305438']
1460,"Saat akan meninggalkan Morotai, Rabu (6/4/2016), Presiden menyempatkan diri mampir ke Museum Trikora.","['Morotai', 'Museum Trikora']","['http://www.wikidata.org/entity/Q19146', 'http://www.wikidata.org/entity/Q109354796']"
166,Inter kini menempati posisi kelima dengan perolehan 55 poin dari 31 laga.,['Inter'],['http://www.wikidata.org/entity/Q631']
450,"PKB akan melawan segala bentuk penggiringan berita dan melawan ambisi orang-orang tertentu yang ingin merebut Kemendes,"" kata Jazilul dalam keterangan tertulis yang diterima detikcom, Selasa (5/4/2016).","['PKB', 'Kemendes', 'Jazilul', 'detikcom']","['http://www.wikidata.org/entity/Q1257317', 'http://www.wikidata.org/entity/Q11049125', 'http://www.wikidata.org/entity/Q96987319', 'http://www.wikidata.org/entity/Q12481355']"
1234,Namun belum tentu dia bisa segera dilantik menggantikan Fahri Hamzah.,['Fahri Hamzah'],['http://www.wikidata.org/entity/Q16176642']
431,Menteri Sekretaris Negara Pratikno meminta kepada semua pihak untuk menahan diri tidak bertindak kasar dan gegabah dalam menyikapi masalah ini.,['Pratikno'],['http://www.wikidata.org/entity/Q12506406']
633,"Setelah melalui berbagai uji coba, satelit Telkom-2 resmi beroperasi Jumat (24/2/2006).",['Telkom-2'],['http://www.wikidata.org/entity/Q36698']
1688,Badrodin menambahkan kepolisian tak akan sungkan untuk menindak tegas sopir pendemo yang anarkis.,['Badrodin'],['http://www.wikidata.org/entity/Q12473234']
2084,"Perlu dicatat, dua pemain ini mendapatkan sorotan karena gagal menggantikan Kompany yang cedera betis sejak November 2015.",['Kompany'],['http://www.wikidata.org/entity/Q201381']
1712,Kesialan-kesialan itu membuat Rabiot menilai bahwa City cuma beruntung saat berhasil menuai hasil imbang saat melakoni leg I babak perempatfinal Liga Champions.,"['Rabiot', 'City']","['http://www.wikidata.org/entity/Q18962', 'http://www.wikidata.org/entity/Q50602']"
395,Tapi Kevin/Marcus bangkit dengan merebut tujuh angka secara beruntun untuk berbalik unggul 19-16.,"['Kevin', 'Marcus']","['http://www.wikidata.org/entity/Q15229725', 'http://www.wikidata.org/entity/Q1523130']"
503,Nitya dibekap cedera lutut usai laga fantastis berdurasi 161 menit pada babak semifinal Kejuaraan Bulutangkis Asia 2016 yang ditutup akhir pekan lalu.,"['Nitya', 'Asia']","['http://www.wikidata.org/entity/Q524312', 'http://www.wikidata.org/entity/Q48']"
343,"saham yang naik signifikan dan masuk dalam jajaran top gainers di antaranya Mayora (MYOR) naik Rp 700 ke Rp 29.85, Indofood CBP (ICBP) naik Rp 300 ke Rp 11.5, Indo Tambangraya (ITMG) naik Rp 250 ke Rp 31.75, Gol itu juga adalah yang ke-48 bagi Ibrahimovic di kompetisi, menyamai Shevchenko yang menduduki urutan keenam daftar pencetak gol terbanyak.","['Mayora', 'MYOR', 'Indofood CBP', 'ICBP', 'Indo Tambangraya', 'ITMG', 'Ibrahimovic', 'Shevchenko']","['http://www.wikidata.org/entity/Q12497654', 'http://www.wikidata.org/entity/Q12497654', 'http://www.wikidata.org/entity/Q105624046', 'http://www.wikidata.org/entity/Q105624046', 'http://www.wikidata.org/entity/Q96100347', 'http://www.wikidata.org/entity/Q96100347', 'http://www.wikidata.org/entity/Q46896', 'http://www.wikidata.org/entity/Q41244']"
2055,Wasekjen PKB Daniel Johan menyebut reshuffle adalah sepenuhnya hak presiden.,"['PKB', 'Daniel Johan']","['http://www.wikidata.org/entity/Q1257317', 'http://www.wikidata.org/entity/Q1257317']"
1477,"Selain Intel, Toshiba dan Samsung disebut-sebut juga akan mengumumkan produk sejenis pada Januari 2009.","['Intel', 'Toshiba', 'Samsung']","['http://www.wikidata.org/entity/Q248', 'http://www.wikidata.org/entity/Q49125', 'http://www.wikidata.org/entity/Q20716']"
1891,"Film animasi ' Big Hero 6 ' produksi Walt Disney Animation Studios yang rilis tahun lalu, begitu digemari.",['Walt Disney Animation Studios'],['http://www.wikidata.org/entity/Q1047410']
850,"Jadi, mereka yang akan tahu seperti apa,"" tutur pria asal Payakumbuh, Sumatera Barat itu.","['Payakumbuh', 'Sumatera Barat']","['http://www.wikidata.org/entity/Q7261', 'http://www.wikidata.org/entity/Q2772']"
392,"Sedangkan saham-saham yang turun harganya antara lain, Indofood Sukses Makmur (INDF) turun Rp 10 menjadi Rp 930, International Nickel Indonesia (INCO) turun Rp 75 menjadi Rp 2.2 dan United Tractors (UNTR) turun Rp 50 menjadi Rp 5.7.","['Indofood Sukses Makmur', 'INDF', 'International Nickel Indonesia', 'INCO', 'United Tractors', 'UNTR']","['http://www.wikidata.org/entity/Q3930665', 'http://www.wikidata.org/entity/Q3930665', 'http://www.wikidata.org/entity/Q65212259', 'http://www.wikidata.org/entity/Q65212259', 'http://www.wikidata.org/entity/Q17058554', 'http://www.wikidata.org/entity/Q17058554']"
1272,Mega berkeliling Pulau Jawa pada 18-23 November ke tempat-tempat yang dikenal sebagai basis PDIP.,"['Mega', 'Pulau Jawa', 'PDIP']","['http://www.wikidata.org/entity/Q76179', 'http://www.wikidata.org/entity/Q3757', 'http://www.wikidata.org/entity/Q1186306']"
1266,Basuki Tjahaja Purnama (Ahok) dipastikan akan maju dalam Pemilihan Gubernur dan Wakil Gubernur DKI Jakarta dari jalur independen.,"['Basuki Tjahaja Purnama', 'Ahok', 'DKI Jakarta']","['http://www.wikidata.org/entity/Q3701615', 'http://www.wikidata.org/entity/Q3701615', 'http://www.wikidata.org/entity/Q3630']"
1201,"Bukan pekerjaan mudah mengingat sejarah mengatakan bahwa Wolfsburg punya peluang besar lolos ke semifinal, yakni 89 persen, dengan keunggulan tersebut.",['Wolfsburg'],['http://www.wikidata.org/entity/Q101859']
2024,"Sedangkan saham yang turun harganya di top loser diantaranya Semen Gresik turun Rp 250 menjadi Rp 10.5, PT BA turun Rp 25 menjadi Rp 850, Medco turun Rp 25 menjadi Rp 1525, PT Timah turun Rp 25 menjadi Rp 2125.","['Semen Gresik', 'PT BA', 'Medco', 'PT Timah']","['http://www.wikidata.org/entity/Q7449209', 'http://www.wikidata.org/entity/Q12477510', 'http://www.wikidata.org/entity/Q3303904', 'http://www.wikidata.org/entity/Q19752956']"
1103,"Karo Penmas Polri Brijen Agus Riyanto mengatakan, Polri saat ini masih menyiapkan calon pengganti untuk Pudji.","['Polri', 'Polri']","['http://www.wikidata.org/entity/Q3103954', 'http://www.wikidata.org/entity/Q3103954']"
387,Menyampaikan apresiasi atas kerja sama yang sejauh ini telah diberikan oleh otoritas Filipina dalam rangka koordinasi pelepasan sandera 4.,['Filipina'],['http://www.wikidata.org/entity/Q928']
859,"Menurut wakil dari Kementrian Pertahanan, lagu-lagu tersebut memiliki genre yang berbeda-beda sehingga terdengar lebih menarik.",['Kementrian Pertahanan'],['http://www.wikidata.org/entity/Q12490750']
546,"Direktur Salim Group Franciscus Welirang melalui sumber detikcom di manajemen Indofood meluruskan adanya keterkaitan bisnis Salim Group dengan Artalyta Suryani, tersangka kasus penyuapan Jaksa Urip Tri Gunawan.","['Salim Group', 'Franciscus Welirang', 'detikcom', 'Indofood', 'Salim Group', 'Artalyta Suryani']","['http://www.wikidata.org/entity/Q905963', 'http://www.wikidata.org/entity/Q905963', 'http://www.wikidata.org/entity/Q12481355', 'http://www.wikidata.org/entity/Q3930665', 'http://www.wikidata.org/entity/Q905963', 'http://www.wikidata.org/entity/Q10735392']"
926,"""Sejauh ini Presiden tidak ada perubahan, terakhir saat delegasi pengurus PPP menghadap beliau, beliau menyatakan siap hadir dalam pembukaan,"" kata Lukman di Gedung Utama Sekretariat Negara, Jl Veteran, Jakarta Pusat, Kamis (7/4/2016).","['PPP', 'Lukman', 'Jl Veteran', 'Jakarta Pusat']","['http://www.wikidata.org/entity/Q2669302', 'https://www.wikidata.org/wiki/Q16188358', 'http://www.wikidata.org/entity/Q12487085', 'http://www.wikidata.org/entity/Q10109']"
852,"Sekretaris Kabinet Pramono Anung pun mengatakan, siapa saja boleh memberi usulan dan permintaan lewat surat kepada Presiden.",['Pramono Anung'],['http://www.wikidata.org/entity/Q12506342']
1680,Penyandera sebelumnya memberikan batas waktu 2 hari lagi untuk memberikan uang tebusan yang diminta.,[],[]
91,"Ini bukan soal tegur, tapi memang agak terlambat karena Perpres itu tersangkut PP,"" kata Ahok usai ratas soal LRT di Istana Negara, Jl Veteran, Jakpus, Selasa (29/3/2016) sore.","['Ahok', 'LRT', 'Istana Negara', 'Jl Veteran', 'Jakpus']","['http://www.wikidata.org/entity/Q3701615', 'http://www.wikidata.org/entity/Q1268865', 'http://www.wikidata.org/entity/Q6088540', 'http://www.wikidata.org/entity/Q12487085', 'http://www.wikidata.org/entity/Q10109']"
160,"""Untuk keamanan pengendara dan kendaraan harus terdaftar, supaya kita tahu misalnya siapa pengemudinya,"" jelas Jonan di Jakarta, Selasa (29/3/2016).","['Jonan', 'Jakarta']","['http://www.wikidata.org/entity/Q16182287', 'http://www.wikidata.org/entity/Q3630']"
198,"Dalam kasus suap tentang pembahasan rancangan Peraturan Daerah (Raperda) tentang Zonasi Wilayah Pesisir dan Pulau-pulau Kecil Provinsi Jakarta dan tentang Rencana Tata Ruang Kawasan Strategis Pantai Jakarta Utara, KPK telah menetapkan 3 orang tersangka.","['Jakarta', 'KPK']","['http://www.wikidata.org/entity/Q3630', 'http://www.wikidata.org/entity/Q3273955']"
17,"Sebelumnya Rektor UGM juga telah menggandeng Universitas Szent Istvan Godollo, Hongaria untuk kerjasama pendidikan tinggi.","['UGM', 'Universitas Szent Istvan Godollo', 'Hongaria']","['http://www.wikidata.org/entity/Q1145992', 'http://www.wikidata.org/entity/Q1296434', 'http://www.wikidata.org/entity/Q28']"
454,"Kristiono mengakui, tingginya utang dalam dolar AS itu memberikan pengaruh negatif kepada rugi kurs, dimana pada kuartal I 2005, Telkom masih membukukan rugi kurs yang cukup signifikan.","['Kristiono', 'AS', 'Telkom']","['http://www.wikidata.org/entity/Q12492607', 'http://www.wikidata.org/entity/Q30', 'http://www.wikidata.org/entity/Q2305438']"
1699,PKB pun siap melawan siapa pun pihak yang ingin merebut kursi Kemendes PDT.,"['PKB', 'Kemendes PDT']","['http://www.wikidata.org/entity/Q1257317', 'http://www.wikidata.org/entity/Q11049125']"
1896,"Menurut salah satu pemandu Disneyland, wahana Star Tour awalnya hanya memiliki satu jenis petualangan yang bisa dirasakan pengunjung.",['Disneyland'],['http://www.wikidata.org/entity/Q181185']
1099,Ia dilantik Presiden Jokowi pada Rabu (20/1) lalu dan mengatakan bukan mewakili PAN.,"['Jokowi', 'PAN']","['http://www.wikidata.org/entity/Q3318231', 'http://www.wikidata.org/entity/Q2434365']"
201,"Dari acara yang dimulai pukul 9 WIB, Wapres JK tiba lebih dulu sekitar pukul 9.15 WIB, sementara Presiden Jokowi datang setelahnya sekitar pukul 9.3 WIB.","['JK', 'Jokowi']","['http://www.wikidata.org/entity/Q76354', 'http://www.wikidata.org/entity/Q3318231']"
1505,Jakarta-General Motors Indonesia telah meluncurkan SUV kompak Chevrolet Trax pada awal Desember 2015 lalu.,"['Jakarta', 'Chevrolet']","['http://www.wikidata.org/entity/Q3630', 'https://www.wikidata.org/wiki/Q29570']"
1000,Wolfsburg membuka keunggulan di menit 18 lewat penalti Ricardo Rodriguez.,"['Wolfsburg', 'Ricardo Rodriguez']","['http://www.wikidata.org/entity/Q101859', 'http://www.wikidata.org/entity/Q666506']"
787,"Kelimanya adalah PT PP London Sumatra Tbk, PT Sinarmas, PT Bakrie Sumatra Plantations Tbk, Indofood dan Minamas.12 dari 24 peserta calon Komisioner Komisi Kepolisian Nasional (Kompolnas) diseleksi.","['PT PP London Sumatra Tbk', 'PT Sinarmas', 'PT Bakrie Sumatra Plantations Tbk', 'Indofood']","['http://www.wikidata.org/entity/Q22907993', 'http://www.wikidata.org/entity/Q1516371', 'http://www.wikidata.org/entity/Q12473631', 'http://www.wikidata.org/entity/Q3930665']"
258,Sedangkan Chelsea melawat ke markas tim peringkat 15 Swansea City (37 poin dari 32 laga).,"['Chelsea', 'Swansea City']","['http://www.wikidata.org/entity/Q9616', 'http://www.wikidata.org/entity/Q18659']"
1061,Saat ini Golkar sedang menuntaskan merger kepengurusan Munas Ancol dan Munas Bali.,"['Golkar', 'Ancol', 'Bali']","['http://www.wikidata.org/entity/Q1536552', 'http://www.wikidata.org/entity/Q4753096', 'http://www.wikidata.org/entity/Q3125978']"
1269,"Zidane juga belum pernah memenangi partai Liga Champions di tanah Jerman semasa bermain dulu (3 seri, 3 kalah).","['Zidane', 'Jerman']","['http://www.wikidata.org/entity/Q1835', 'http://www.wikidata.org/entity/Q183']"
1516,"Telkomsel juga membuka layanan tersebut dalam basis SMS dan dibagi menjadi 2 cara, yakni melalui SMS Update dan SMS Request.",['Telkomsel'],['http://www.wikidata.org/entity/Q1786124']
1351,Namun Federer yang memang unggul kualitas dan pengalaman mampu mengatasi Suzuki dengan stright set 6-3 6-4 dan 6-4.,['Federer'],['http://www.wikidata.org/entity/Q1426']
1782,"Ratas dihadiri Gubernur Jakarta Ahok, Menko Kemaritiman Rizal Ramli, Menko Perekonomian Darmin Nasution, Menhub Ignasius Jonan dan Mensesneg Pratikno, Gubernur Jabar Ahmad Heryawan, dan Gubernur Sumatera Selatan Alex Nurdin.","['Jakarta', 'Ahok', 'Rizal Ramli', 'Darmin Nasution', 'Ignasius Jonan', 'Pratikno', 'Jabar', 'Ahmad Heryawan', 'Sumatera Selatan', 'Alex Nurdin']","['http://www.wikidata.org/entity/Q3630', 'http://www.wikidata.org/entity/Q3630', 'http://www.wikidata.org/entity/Q12508773', 'http://www.wikidata.org/entity/Q4261409', 'http://www.wikidata.org/entity/Q16182287', 'http://www.wikidata.org/entity/Q12506406', 'http://www.wikidata.org/entity/Q3724', 'http://www.wikidata.org/entity/Q3724', 'http://www.wikidata.org/entity/Q2271', 'http://www.wikidata.org/entity/Q2271']"
1510,"Pengoperasian Bandara HLP sebagai bandara penerbangan sipil tentunya bukan hal yang mudah, mengingat HLP merupakan pangkalan udara utama TNI AU yang aktif.","['Bandara HLP', 'HLP', 'TNI AU']","['http://www.wikidata.org/entity/Q1032934', 'http://www.wikidata.org/entity/Q1032934', 'http://www.wikidata.org/entity/Q1304002']"
35,"""Saya datang bukan untuk bagi-bagi uang, karena itu tidak menyelesaikan masalah,"" tegas Mega dalam pidatonya di depan sekitar 1 warga Blora.","['Mega', 'Blora']","['http://www.wikidata.org/entity/Q76179', 'http://www.wikidata.org/entity/Q10608']"
1133,Sepatu yang harganya Rp 150 ribu itu dibeli dari pengrajin sepatu yang tinggal dikawasan eks lokalisasi Dolly.,[],[]
929,Jonan menduga ada pihak-pihak yang menggeser seolah Kemenhub tidak pro terhadap aplikasi online.,"['Jonan', 'Kemenhub']","['http://www.wikidata.org/entity/Q16182287', 'http://www.wikidata.org/entity/Q6867637']"
2031,"Saat memberikan bantuan, Jokowi berpesan agar warga bisa memanfaatkan bantuan ini sebaik mungkin.",['Jokowi'],['http://www.wikidata.org/entity/Q3318231']
92,"Dikutip detikINET dari Cnet, Kamis (3/5/2012), Koh pun meminta Apple dan Samsung duduk bersama membahas kemungkinan apakah ada gugatan yang bisa diselesaikan secara damai di luar pengadilan.","['detikINET', 'Cnet', 'Koh', 'Apple', 'Samsung']","['http://www.wikidata.org/entity/Q12481355', 'http://www.wikidata.org/entity/Q1544247', 'https://www.wikidata.org/wiki/Q6698345', 'http://www.wikidata.org/entity/Q312', 'http://www.wikidata.org/entity/Q20718']"
820,"Namun menurut Jonan, angkutan online berbasis aplikasi harus didaftarkan seperti angkutan umum lainnya.",['Jonan'],['http://www.wikidata.org/entity/Q16182287']
1706,"Hal ini disampaikan Anies Baswedan di kantor Kemendikbud usai memantau penyelenggaraan UN di Surabaya Film dan game mengikat kedekatan emosional penggemar lewat imajinasi, tapi berbagai theme park di Disneyland yang merangkul keluarga merasakan dunia-dunia tersebut secara langsung.","['Anies Baswedan', 'Surabaya', 'Disneyland']","['http://www.wikidata.org/entity/Q4263230', 'http://www.wikidata.org/entity/Q11462', 'http://www.wikidata.org/entity/Q181185']"
1191,Penyanyi Demi Lovato (22) bertekad mulai mencintai tubuhnya sendiri dan akan memperlakukan tubuhnya dengan baik melalui gaya hidup sehat.,['Demi Lovato'],['http://www.wikidata.org/entity/Q41173']
1371,"Tim pasukan khusus pun sudah disiagakan di Tarakan, Kalimantan Utara, untuk sewaktu-waktu menjemput sandera jika upaya negoisasi berhasil.","['Tarakan', 'Kalimantan Utara']","['http://www.wikidata.org/entity/Q14501', 'http://www.wikidata.org/entity/Q3903']"
897,Direktorat Jenderal Keimigrasian akan melakukan evaluasi terhadap Tim Pengawas Orang Asing (Timpora) di 33 provinsi.,[],[]
1713,"Saat Rio Haryanto tengah menyusun langkah menuju panggung balap terbesar dunia, Formula 1, musibah menimpa keluarga pebalap muda Indonesia tersebut.","['Rio Haryanto', 'Indonesia']","['http://www.wikidata.org/entity/Q981543', 'http://www.wikidata.org/entity/Q252']"
1499,"Penunjukkan dan pergantian pejabat jika dilakukan dengan analisa yang menyeluruh dan menghasilkan pejabat baru yang tepat, akan sangat membantu Presiden Jokowi meningkatkan kinerja pemerintahan.",['Jokowi'],['http://www.wikidata.org/entity/Q3318231']
1429,"""Dia (Ibra) bukan sosok yang buruk, begitulah dia, itu (penyelamatan penalti) juga bukan sebuah pembalasan dendam itu pertandingan yang berbeda, malam yang berbeda dan situasi yang sama penting,"" ucap Hart dalam wawancaranya usai pertandingan.","['Ibra', 'Hart']","['http://www.wikidata.org/entity/Q46896', 'http://www.wikidata.org/entity/Q187184']"
365,"Romahurmuziy yang mewakili kepengurusan Muktamar Bandung, sudah mengundang Presiden Jokowi untuk hadir dalam pembukaan Muktamar pada Jumat (8//4) besok.","['Romahurmuziy', 'Bandung', 'Jokowi']","['http://www.wikidata.org/entity/Q16188439', 'http://www.wikidata.org/entity/Q10389', 'http://www.wikidata.org/entity/Q3318231']"
